场站名称,lon,lat
二广高速小三江北行,112.1175876668829,24.280841340356407
二广高速小三江南行,112.1144048321082,24.280877154931716
二广高速白沙北行,112.23399755793803,24.7071769896492
二广高速白沙南行,112.23412081709331,24.708924638494054
利通广场充电站,113.32052903094085,23.12842056220276
大潮高速浮滨住宿区,116.85585442876281,23.840455235158167
大潮高速高陂管理中心,116.64681571939241,24.20276019124289
平兴高速石正充电站,115.86976727571574,24.513183133580153
广三高速狮山东行,112.99088509719672,23.141206747952662
广三高速狮山西行,112.99153703873152,23.14221046192184
广昆高速葵洞东行,111.877922504259,22.968595500098512
梅河高速兴宁东充电站,115.7808450057237,24.124259271315676
汕梅高速北斗（单侧）南行,116.12215900206215,23.82204874573503
西部沿海广海充电站,112.78237994082656,21.977501576784473
韶赣高速大塘北行,113.70896367493587,24.851433872208176
韶赣高速大塘南行,113.70772973747921,24.85226565265942
潮汕环线江东充电站,116.6625178708736,23.600626671735576
